0,0
0.1,-0.00025079
0.2,-0.00053206
0.3,-0.00070108
0.4,-0.00074556
0.5,-0.00067999
0.6,-0.00053115
0.7,-0.00032927
0.8,-0.00010351
0.9,0.00011981
1,0.0003198
1.1,0.00048193
1.2,0.00059707
1.3,0.00066177
1.4,0.00067789
1.5,0.00065075
1.6,0.00058768
1.7,0.00049746
1.8,0.00038932
1.9,0.00027241
2,0.00015542
2.1,4.6016e-05
2.2,-4.9808e-05
2.3,-0.00012787
2.4,-0.00018596
2.5,-0.00022367
2.6,-0.00024192
2.7,-0.0002425
2.8,-0.00022774
2.9,-0.00020049
3,-0.00016393
3.1,-0.00012142
3.2,-7.6273e-05
3.3,-3.157e-05
3.4,1.0107e-05
3.5,4.6794e-05
3.6,7.7194e-05
3.7,0.00010059
3.8,0.00011671
3.9,0.00012561
4,0.00012764
4.1,0.0001234
4.2,0.00011376
4.3,9.9793e-05
4.4,8.2735e-05
4.5,6.3834e-05
4.6,4.4251e-05
4.7,2.4963e-05
4.8,6.7518e-06
4.9,-9.7661e-06
5,-2.4101e-05
5.1,-3.5864e-05
5.2,-4.4777e-05
5.3,-5.0702e-05
5.4,-5.3665e-05
5.5,-5.3861e-05
5.6,-5.1624e-05
5.7,-4.737e-05
5.8,-4.1536e-05
5.9,-3.4535e-05
6,-2.6752e-05
6.1,-1.8544e-05
6.2,-1.0264e-05
6.3,-2.2501e-06
6.4,5.1763e-06
6.5,1.1742e-05
6.6,1.7248e-05
6.7,2.158e-05
6.8,2.4708e-05
6.9,2.6663e-05
7,2.7514e-05
7.1,2.8134e-05
7.2,2.7244e-05
7.3,2.5149e-05
7.4,2.2294e-05
7.5,1.8887e-05
7.6,1.5114e-05
7.7,1.1156e-05
7.8,7.1854e-06
7.9,3.3509e-06
8,-2.3087e-07
8.1,-3.4613e-06
8.2,-6.259e-06
8.3,-8.5525e-06
8.4,-1.0284e-05
8.5,-1.1412e-05
8.6,-1.1924e-05
8.7,-1.184e-05
8.8,-1.1212e-05
8.9,-1.0113e-05
9,-8.6284e-06
9.1,-6.8449e-06
9.2,-4.844e-06
9.3,-2.704e-06
9.4,-5.0694e-07
9.5,1.6619e-06
9.6,3.7168e-06
9.7,5.5757e-06
9.8,7.1672e-06
9.9,8.4404e-06
10,9.3678e-06
10.1,-4.7719e-05
10.2,-4.7969e-05
10.3,-4.123e-05
10.4,-3.4589e-05
10.5,-2.8583e-05
10.6,-2.3351e-05
10.7,-1.9004e-05
10.8,-1.5627e-05
10.9,-1.3242e-05
11,-1.1799e-05
11.1,1.7265e-05
11.2,1.3637e-05
11.3,1.0296e-05
11.4,6.7954e-06
11.5,3.1874e-06
11.6,-4.0632e-07
11.7,-3.8201e-06
11.8,-6.8636e-06
11.9,-9.3675e-06
12,-1.1223e-05
12.1,-1.2399e-05
12.2,-1.2931e-05
12.3,-1.2883e-05
12.4,-1.2312e-05
12.5,-1.1254e-05
12.6,-9.7269e-06
12.7,-7.7562e-06
12.8,-5.4047e-06
12.9,-2.7834e-06
13,-3.9002e-08
13.1,2.6752e-06
13.2,5.2302e-06
13.3,7.5382e-06
13.4,9.5524e-06
13.5,1.1249e-05
13.6,1.2602e-05
13.7,1.3571e-05
13.8,1.4106e-05
13.9,1.4164e-05
14,1.3732e-05
14.1,1.2842e-05
14.2,1.1565e-05
14.3,9.9937e-06
14.4,8.2229e-06
14.5,6.3281e-06
14.6,4.3629e-06
14.7,2.3716e-06
14.8,4.0306e-07
14.9,-1.479e-06
15,-3.1992e-06
15.1,-4.6783e-06
15.2,-5.8539e-06
15.3,-6.6944e-06
15.4,-7.1996e-06
15.5,-7.3916e-06
15.6,-7.3015e-06
15.7,-6.9558e-06
15.8,-6.3726e-06
15.9,-5.5669e-06
16,-4.56e-06
16.1,-3.3912e-06
16.2,-2.1144e-06
16.3,-7.9567e-07
16.4,5.0009e-07
16.5,1.7235e-06
16.6,2.8448e-06
16.7,3.8492e-06
16.8,4.7294e-06
16.9,5.4759e-06
17,6.0736e-06
17.1,6.5041e-06
17.2,6.7539e-06
17.3,6.8222e-06
17.4,6.7238e-06
17.5,6.4872e-06
17.6,6.1451e-06
17.7,5.7264e-06
17.8,5.2515e-06
17.9,4.7317e-06
18,4.1758e-06
18.1,3.5958e-06
18.2,3.0106e-06
18.3,2.4448e-06
18.4,1.9223e-06
18.5,1.4608e-06
18.6,1.0666e-06
18.7,7.3598e-07
18.8,4.6005e-07
18.9,2.2983e-07
19,4.1391e-08
19.1,-1.0436e-07
19.2,-2.0462e-07
19.3,-2.5908e-07
19.4,-2.7285e-07
19.5,-2.5793e-07
19.6,-2.2752e-07
19.7,-1.9291e-07
19.8,-1.5925e-07
19.9,-1.25e-07
20,-8.4154e-08
20.1,-1.8984e-05
20.2,-1.9964e-05
20.3,-1.8157e-05
20.4,-1.6166e-05
20.5,-1.4193e-05
20.6,-1.2309e-05
20.7,-1.0597e-05
20.8,-9.1359e-06
20.9,-7.9788e-06
21,-7.1339e-06
21.1,-6.5875e-06
21.2,-6.2441e-06
21.3,-6.0684e-06
21.4,-6.0305e-06
21.5,-6.1191e-06
21.6,-6.331e-06
21.7,-1.2043e-05
21.8,-1.33e-05
21.9,-1.3948e-05
22,-1.4588e-05
22.1,-1.4995e-05
22.2,-1.5118e-05
22.3,-1.5011e-05
